occupation,soc_code,emp_2024,emp_2034,emp_change_num,emp_change_pct,median_wage_2024,education_required,annual_openings
      Chief executives,11-1011,309.4,322.7,13.3,4.3,206420.0,Bachelor's degree,22.2
      General and operations managers,11-1021,3712.9,3876.8,164.0,4.4,102950.0,Bachelor's degree,308.7
      Legislators,11-1031,27.7,28.6,0.9,3.4,44810.0,Bachelor's degree,2.2
      Advertising and promotions managers,11-2011,27.0,26.4,-0.6,-2.2,126960.0,Bachelor's degree,2.1
        Marketing managers,11-2021,407.0,433.7,26.7,6.6,161030.0,Bachelor's degree,34.3
        Sales managers,11-2022,619.5,648.5,29.0,4.7,138060.0,Bachelor's degree,49.0
        Public relations managers,11-2032,83.2,87.3,4.1,5.0,138520.0,Bachelor's degree,6.6
        Fundraising managers,11-2033,45.7,47.6,1.9,4.2,123480.0,Bachelor's degree,3.6
        Administrative services managers,11-3012,271.2,283.8,12.6,4.6,108390.0,Bachelor's degree,23.2
        Facilities managers,11-3013,151.4,157.1,5.7,3.8,104690.0,Bachelor's degree,13.2
      Computer and information systems managers,11-3021,667.1,768.7,101.6,15.2,171200.0,Bachelor's degree,55.6
      Financial managers,11-3031,868.6,997.4,128.8,14.8,161700.0,Bachelor's degree,74.6
      Industrial production managers,11-3051,241.9,246.5,4.6,1.9,121440.0,Bachelor's degree,17.1
      Purchasing managers,11-3061,83.5,86.1,2.6,3.1,139510.0,Bachelor's degree,6.4
"      Transportation, storage, and distribution managers",11-3071,216.7,229.8,13.1,6.1,102010.0,High school diploma or equivalent,18.5
      Compensation and benefits managers,11-3111,20.9,20.9,0.0,0.2,140360.0,Bachelor's degree,1.5
      Human resources managers,11-3121,221.9,233.0,11.1,5.0,140030.0,Bachelor's degree,17.9
      Training and development managers,11-3131,46.4,49.2,2.7,5.8,127090.0,Bachelor's degree,3.8
"      Farmers, ranchers, and other agricultural managers",11-9013,836.1,825.0,-11.1,-1.3,87980.0,High school diploma or equivalent,85.5
      Construction managers,11-9021,550.3,598.4,48.1,8.7,106980.0,Bachelor's degree,46.8
"        Education and childcare administrators, preschool and daycare",11-9031,90.2,87.9,-2.3,-2.5,56270.0,Bachelor's degree,5.5
"        Education administrators, kindergarten through secondary",11-9032,333.3,328.1,-5.1,-1.5,104070.0,Master's degree,20.8
"        Education administrators, postsecondary",11-9033,226.6,230.5,4.0,1.7,103960.0,Master's degree,15.1
"        Education administrators, all other",11-9039,60.2,61.7,1.5,2.5,89040.0,Bachelor's degree,4.1
      Architectural and engineering managers,11-9041,212.5,220.5,8.0,3.8,167740.0,Bachelor's degree,14.5
      Food service managers,11-9051,352.8,375.3,22.6,6.4,65310.0,High school diploma or equivalent,42.0
        Gambling managers,11-9071,5.1,5.2,0.1,1.2,85580.0,High school diploma or equivalent,0.6
"        Entertainment and recreation managers, except gambling",11-9072,43.2,46.5,3.3,7.7,77180.0,Bachelor's degree,5.5
      Lodging managers,11-9081,52.0,53.8,1.8,3.4,68130.0,High school diploma or equivalent,5.4
      Medical and health services managers,11-9111,616.2,759.1,142.9,23.2,117960.0,Bachelor's degree,62.1
      Natural sciences managers,11-9121,104.3,108.2,3.9,3.7,161180.0,Bachelor's degree,8.5
      Postmasters and mail superintendents,11-9131,13.1,12.7,-0.5,-3.5,92730.0,High school diploma or equivalent,0.9
"      Property, real estate, and community association managers",11-9141,466.1,483.1,17.0,3.6,66700.0,High school diploma or equivalent,39.0
      Social and community service managers,11-9151,219.8,233.9,14.1,6.4,78240.0,Bachelor's degree,18.6
      Emergency management directors,11-9161,13.2,13.6,0.4,3.0,86130.0,Bachelor's degree,1.0
        Funeral home managers,11-9171,32.1,33.4,1.3,4.1,76830.0,Associate's degree,2.6
"        Personal service managers, all other",11-9179,25.1,26.7,1.6,6.5,61340.0,High school diploma or equivalent,2.1
"      Managers, all other",11-9199,1333.7,1393.5,59.8,4.5,136550.0,Bachelor's degree,106.7
"      Agents and business managers of artists, performers, and athletes",13-1011,21.4,23.2,1.9,8.7,96310.0,Bachelor's degree,2.2
      Buyers and purchasing agents,13-1020,522.2,552.3,30.1,5.8,75650.0,Bachelor's degree,52.2
"        Claims adjusters, examiners, and investigators",13-1031,356.1,337.9,-18.2,-5.1,76790.0,High school diploma or equivalent,21.1
"        Insurance appraisers, auto damage",13-1032,9.2,8.4,-0.8,-8.2,76650.0,Postsecondary nondegree award,0.5
      Compliance officers,13-1041,418.0,430.3,12.3,3.0,78420.0,Bachelor's degree,33.3
      Cost estimators,13-1051,221.4,212.1,-9.3,-4.2,77070.0,Bachelor's degree,16.9
        Human resources specialists,13-1071,944.3,1002.7,58.4,6.2,72910.0,Bachelor's degree,81.8
        Farm labor contractors,13-1074,3.9,4.2,0.2,6.0,48690.0,No formal educational credential,0.3
        Labor relations specialists,13-1075,65.4,65.4,-0.1,-0.1,93500.0,Bachelor's degree,5.1
        Logisticians,13-1081,241.0,281.3,40.3,16.7,80880.0,Bachelor's degree,26.4
        Project management specialists,13-1082,1046.3,1105.0,58.7,5.6,100750.0,Bachelor's degree,78.2
      Management analysts,13-1111,1075.1,1169.7,94.5,8.8,101190.0,Bachelor's degree,98.1
"      Meeting, convention, and event planners",13-1121,155.8,163.3,7.5,4.8,59440.0,Bachelor's degree,15.5
      Fundraisers,13-1131,134.4,140.2,5.8,4.3,66490.0,Bachelor's degree,10.2
"      Compensation, benefits, and job analysis specialists",13-1141,107.0,112.7,5.6,5.3,77020.0,Bachelor's degree,8.5
      Training and development specialists,13-1151,452.3,501.0,48.7,10.8,65850.0,Bachelor's degree,43.9
      Market research analysts and marketing specialists,13-1161,941.7,1004.7,63.0,6.7,76950.0,Bachelor's degree,87.2
"      Business operations specialists, all other",13-1199,1205.7,1242.0,36.3,3.0,81270.0,Bachelor's degree,108.2
      Accountants and auditors,13-2011,1579.8,1652.6,72.8,4.6,81680.0,Bachelor's degree,124.2
      Property appraisers and assessors,13-2020,77.3,80.2,2.9,3.8,65420.0,Bachelor's degree,6.3
      Budget analysts,13-2031,50.4,51.0,0.5,1.0,87930.0,Bachelor's degree,3.1
      Credit analysts,13-2041,67.8,64.8,-3.0,-4.4,80970.0,Bachelor's degree,3.7
        Financial and investment analysts,13-2051,368.5,389.6,21.1,5.7,101350.0,Bachelor's degree,25.1
        Personal financial advisors,13-2052,326.0,357.2,31.2,9.6,102140.0,Bachelor's degree,24.1
        Insurance underwriters,13-2053,127.0,123.7,-3.3,-2.6,79880.0,Bachelor's degree,8.2
        Financial risk specialists,13-2054,60.5,64.4,3.9,6.5,106000.0,Bachelor's degree,4.8
      Financial examiners,13-2061,65.1,77.2,12.1,18.5,90400.0,Bachelor's degree,5.7
        Credit counselors,13-2071,31.8,32.9,1.1,3.3,50480.0,Bachelor's degree,2.2
        Loan officers,13-2072,301.4,306.5,5.0,1.7,74180.0,Bachelor's degree,20.3
"        Tax examiners and collectors, and revenue agents",13-2081,57.6,56.5,-1.0,-1.8,59740.0,Bachelor's degree,4.3
        Tax preparers,13-2082,90.6,94.7,4.1,4.5,50560.0,High school diploma or equivalent,10.4
"      Financial specialists, all other",13-2099,137.1,141.4,4.3,3.1,80190.0,Bachelor's degree,10.3
        Computer systems analysts,15-1211,521.1,566.5,45.5,8.7,103790.0,Bachelor's degree,34.2
        Information security analysts,15-1212,182.8,234.9,52.1,28.5,124910.0,Bachelor's degree,16.0
      Computer and information research scientists,15-1221,40.3,48.3,7.9,19.7,140910.0,Master's degree,3.2
        Computer network support specialists,15-1231,152.7,155.5,2.8,1.8,73340.0,Associate's degree,9.6
        Computer user support specialists,15-1232,729.5,702.5,-27.0,-3.7,60340.0,"Some college, no degree",40.8
        Computer network architects,15-1241,179.2,200.6,21.4,11.9,130390.0,Bachelor's degree,11.2
