automation_prob,soc_code,occupation_fo
0.72,39-3091,Amusement and recreation attendants
0.72,31-9095,Pharmacy aides
0.72,47-3016,Helpers–roofers
0.72,53-7121,"Tank car, truck, and ship loaders"
0.72,49-9031,Home appliance repairers
0.72,47-2031,Carpenters
0.72,27-3012,Public address system and other announcers
0.73,51-6063,"Textile knitting and weaving machine setters, operators, and tenders"
0.73,11-3011,Administrative services managers
0.73,47-2121,Glaziers
0.73,51-2021,"Coil winders, tapers, and finishers"
0.73,49-3031,Bus and truck mechanics and diesel engine specialists
0.74,49-2011,"Computer, automated teller, and office machine repairers"
0.74,39-9021,Personal care aides
0.74,27-4012,Broadcast technicians
0.74,47-3013,Helpers–electricians
0.75,11-9131,Postmasters and mail superintendents
0.75,47-2044,Tile and marble setters
0.75,47-2141,"Painters, construction and maintenance"
0.75,53-6061,"Transportation attendants, except flight attendants"
0.75,17-3022,Civil engineering technicians
0.75,49-3041,Farm equipment mechanics and service technicians
0.76,25-4011,Archivists
0.76,51-9011,Chemical equipment operators and tenders
0.76,49-2092,"Electric motor, power tool, and related repairers"
0.76,45-4021,Fallers
0.77,19-4091,"Environmental science and protection technicians, including health"
0.77,49-9094,Locksmiths and safe repairers
0.77,37-3013,Tree trimmers and pruners
0.77,35-3011,Bartenders
0.77,13-1023,"Purchasing agents, except wholesale, retail, and farm products"
0.77,35-9021,Dishwashers
0.77,45-3021,Hunters and trappers
0.78,31-9093,Medical equipment preparers
0.78,51-4031,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
0.78,43-9011,Computer operators
0.78,51-8092,Gas plant operators
0.79,43-5053,"Postal service mail sorters, processors, and processing machine operators"
0.79,53-3032,Heavy and tractor-trailer truck drivers
0.79,39-5093,Shampooers
0.79,47-2081,Drywall and ceiling tile installers
0.79,49-9098,"Helpers–installation, maintenance, and repair workers"
0.79,49-3052,Motorcycle mechanics
0.79,51-2011,"Aircraft structure, surfaces, rigging, and systems assemblers"
0.79,45-4022,Logging equipment operators
0.79,47-2042,"Floor layers, except carpet, wood, and hard tiles"
0.8,39-5011,Barbers
0.8,47-5011,"Derrick operators, oil and gas"
0.81,35-2011,"Cooks, fast food"
0.81,43-9022,Word processors and typists
0.81,17-3012,Electrical and electronics drafters
0.81,17-3024,Electro-mechanical technicians
0.81,51-9192,"Cleaning, washing, and metal pickling equipment operators and tenders"
0.81,11-9141,"Property, real estate, and community association managers"
0.81,43-6013,Medical secretaries
0.81,51-6021,"Pressers, textile, garment, and related materials"
0.82,51-2031,Engine and other machine assemblers
0.82,49-2098,Security and fire alarm systems installers
0.82,49-9045,"Refractory materials repairers, except brickmasons"
0.82,39-2021,Nonfarm animal caretakers
0.82,47-2211,Sheet metal workers
0.82,47-2072,Pile-driver operators
0.82,47-2021,Brickmasons and blockmasons
0.83,45-3011,Fishers and related fishing workers
0.83,47-2221,Structural iron and steel workers
0.83,53-4021,"Railroad brake, signal, and switch operators"
0.83,53-4031,Railroad conductors and yardmasters
0.83,35-2012,"Cooks, institution and cafeteria"
0.83,53-5011,Sailors and marine oilers
0.83,51-9023,"Mixing and blending machine setters, operators, and tenders"
0.83,47-3011,"Helpers–brickmasons, blockmasons, stonemasons, and tile and marble setters"
0.83,47-4091,Segmental pavers
0.83,47-2131,"Insulation workers, floor, ceiling, and wall"
0.83,51-5112,Printing press operators
